title,brand,rating,reviews,price,image_url,product_url,sponsored
"CozyHug Weighted Plushie – Your Warm, Comforting Buddy for Stress-Free Days & Restful Nights! (Purple)",Sponsored,0,1799,1799,https://m.media-amazon.com/images/I/51jj6TkyJhL._AC_UL320_.jpg,N/A,TRUE
"Enchanted Threads Handmade Crochet Dog Plush Toy | Soft Amigurumi Puppy Stuffed Animal with Red Collar – Cute Yarn Doll for Kids & Baby Gifts – Eco-Friendly, Safe, and Washable – Cream White - 1Pc",Sponsored,0,1200,1200,https://m.media-amazon.com/images/I/61tmfnAxXAL._AC_UL320_.jpg,N/A,TRUE
LOVEY DOVEY Cute Polar Bear Stuffed Soft Toy for Kids (White-Poller.Bear-25 cm) - Super Soft and Cuddly Plush Toy for Hugging and Snuggling,Sponsored,3,111,286,https://m.media-amazon.com/images/I/41-B5ZTBVTL._AC_UL320_.jpg,N/A,TRUE
"ADORA Baby Plushies - 25 cm Blue Lovable Huggable Soft Toy, Small Size Plush Teddy Bear, Elegant Soft Plush Toy for Babies, Great Birthday Gift for Girls",Sponsored,4.6,110,526,https://m.media-amazon.com/images/I/612-NnCMoQL._AC_UL320_.jpg,N/A,TRUE
Madhubala Teddy Bear 3 Feet Giant Stuffed Plush Toys Baby Pink Teddy Bears 3 Feet Pink,Sponsored,2,1,395,https://m.media-amazon.com/images/I/61k--qGrKeL._AC_UL320_.jpg,N/A,TRUE
"CozyHug Weighted Plushie – Your Warm, Comforting Buddy for Stress-Free Days & Restful Nights! (Sea Green)",Sponsored,0,1799,1799,https://m.media-amazon.com/images/I/41qYfSzsiTL._AC_UL320_.jpg,N/A,TRUE
"Storescent Cute Panda Plush with Bamboo, Kawaii Soft Panda in Bamboo Stuffed Animals Toy, Plushies Doll Gifts for Kids Girls Boys Birthday Valentine (Panda in Bamboo)",Sponsored,4.1,1740,397,https://m.media-amazon.com/images/I/510y3YBXpdL._AC_UL320_.jpg,N/A,TRUE
LOVEY DOVEY Cute Polar Bear Stuffed Soft Toy for Kids (White-Poller.Bear-25 cm) - Super Soft and Cuddly Plush Toy for Hugging and Snuggling,Sponsored,3,111,286,https://m.media-amazon.com/images/I/41-B5ZTBVTL._AC_UL320_.jpg,N/A,TRUE
Madhubala Teddy Bear 3 Feet Giant Stuffed Plush Toys Baby Pink Teddy Bears 3 Feet Pink,Sponsored,2,1,395,https://m.media-amazon.com/images/I/61k--qGrKeL._AC_UL320_.jpg,N/A,TRUE
HUG 'n' FEEL SOFT TOYS Soft Toys Long Soft Lovable Huggable Cute Giant Life Size Toy Figure Child Safe Best for Birthday Gift Valentine Gift for Girlfriend 4 FEET Cream Plush & Stuffed Toys,Sponsored,3.7,3,939,https://m.media-amazon.com/images/I/710jBD4M2ML._AC_UL320_.jpg,N/A,TRUE
Tickles Sitting Dalmatian Dog Soft Animal Stuffed for Kids (Size: 25 cm Color: Black and White),Sponsored,3.8,101,428,https://m.media-amazon.com/images/I/41yjZ0oleFS._AC_UL320_.jpg,N/A,TRUE
"Amazon Brand - Jam & Honey Dinosaur, Cute, Plush/Soft Toy, Suitable for Boys, Girls and Kids, Super-Soft, Safe, 34 cm (Green & Yellow)",Sponsored,4.4,13833,225,https://m.media-amazon.com/images/I/81c5rU7uWgL._AC_UL320_.jpg,N/A,TRUE
